"title","person","name"
"Exploiting Wide Property Tables Empowered by Inverse Properties for Efficient Distributed SPARQL Query Evaluation","https://w3id.org/scholarlydata/person/guilherme-schievelbein","Guilherme Schievelbein"
"Towards a Concurrent Approximate Description Logic Reasoner","https://w3id.org/scholarlydata/person/gunjan-singh","Gunjan Singh"
"Towards More Intelligent Triple Pattern Fragments Interfaces","https://w3id.org/scholarlydata/person/hashim-khan","Hashim Khan"
"Graph-KD: Exploring Relational Information for Knowledge Discovery","https://w3id.org/scholarlydata/person/he-wang","He Wang"
"Towards the Bosch Materials Science Knowledge Base","https://w3id.org/scholarlydata/person/heike-adel","Heike Adel"
"RDF Explorer: A Visual Query Builderfor Semantic Web Knowledge Graphs","https://w3id.org/scholarlydata/person/hernan-vargas","Hernan Vargas"
"RDF Explorer: A Visual SPARQL Query Builder","https://w3id.org/scholarlydata/person/hernan-vargas","Hernan Vargas"
"Extending Ontologies in the Nanotechnology Domain using Topic Models and Formal Topical Concept Analysis on Unstructured Text","https://w3id.org/scholarlydata/person/huanyu-li","Huanyu Li"
"An Ontology for Ice Hockey","https://w3id.org/scholarlydata/person/huanyu-li","Huanyu Li"
"An Overview of the TBFY Knowledge Graph for Public Procurement","https://w3id.org/scholarlydata/person/ian-makgill","Ian Makgill"
"Skyline Queries over Knowledge Graphs","https://w3id.org/scholarlydata/person/ilkcan-keles","Ilkcan Keles"
"NAOMI: iNformation Application fOr relatives of patients adMitted to the ICU","https://w3id.org/scholarlydata/person/iman-cocquyt","Iman Cocquyt"
"An End-to-end Semantic Platform For Nutritional Diseases Management","https://w3id.org/scholarlydata/person/ivan-donadello","Ivan Donadello"
"FoodKG Enabled Q&A Application","https://w3id.org/scholarlydata/person/james-codella","James Codella"
"FoodKG: Semantics-Driven Knowledge Graph for Food Recommendation","https://w3id.org/scholarlydata/person/james-codella","James Codella"
